Mutation chance(%), Time, Solution Length, Solution Found?
0, 141611, 0, False
1, 167503, 0, False
2, 50605, 17, True
3, 136428, 0, False
4, 108422, 15, True
5, 61990, 17, True
6, 210193, 29, True
7, 60473, 13, True
8, 47332, 13, True
9, 47106, 15, True
10, 32489, 0, False
11, 45990, 13, True
12, 45697, 17, True
13, 57037, 15, True
14, 112878, 19, True
15, 145159, 21, True
16, 43620, 13, True
17, 109281, 17, True
18, 79305, 15, True
19, 106816, 19, True
20, 128227, 0, False
21, 152970, 13, True
22, 51936, 13, True
23, 33025, 23, True
24, 131194, 13, True
25, 93303, 15, True
26, 31306, 13, True
27, 47485, 13, True
28, 36901, 13, True
29, 18119, 0, False
30, 80587, 15, True
31, 37002, 17, True
32, 17256, 27, True
33, 17138, 35, True
34, 23979, 0, False
35, 28293, 0, False
36, 26256, 0, False
37, 16302, 0, False
38, 24701, 0, False
39, 15781, 0, False
40, 14262, 0, False
41, 30649, 23, True
42, 10938, 0, False
43, 29979, 17, True
44, 14637, 0, False
45, 30413, 0, False
46, 21241, 0, False
47, 20462, 0, False
48, 9974, 0, False
49, 13800, 0, False
0, 27859, 15, True
1, 38958, 15, True
2, 27296, 9, True
3, 38009, 9, True
4, 17001, 7, True
5, 26547, 7, True
6, 26373, 11, True
7, 16577, 7, True
8, 16311, 7, True
9, 25493, 7, True
10, 35639, 11, True
11, 24859, 7, True
12, 24753, 7, True
13, 24605, 7, True
14, 34092, 9, True
15, 33688, 7, True
16, 23710, 7, True
17, 23361, 9, True
18, 14967, 7, True
19, 42788, 7, True
20, 42012, 9, True
21, 14218, 7, True
22, 51718, 7, True
23, 40237, 9, True
24, 30372, 9, True
25, 39513, 7, True
26, 39186, 7, True
27, 29471, 7, True
28, 47969, 9, True
29, 37436, 7, True
30, 28470, 7, True
31, 37522, 7, True
32, 36054, 7, True
33, 35335, 7, True
34, 43696, 7, True
35, 34402, 7, True
36, 26150, 7, True
37, 11536, 7, True
38, 7794, 7, True
39, 11358, 9, True
40, 39541, 7, True
41, 26795, 7, True
42, 19607, 11, True
43, 23126, 7, True
44, 10458, 7, True
45, 14333, 7, True
46, 20394, 9, True
47, 29132, 9, True
48, 13783, 9, True
49, 9587, 36, True
0, 27363, 15, True
1, 67947, 9, True
2, 37964, 11, True
3, 63133, 27, True
4, 61828, 13, True
5, 26193, 11, True
6, 60814, 11, True
7, 47682, 13, True
8, 62776, 9, True
9, 46727, 11, True
10, 58281, 15, True
11, 24747, 9, True
12, 24451, 9, True
13, 34131, 11, True
14, 44464, 11, True
15, 67786, 9, True
16, 32909, 9, True
17, 43022, 9, True
18, 47105, 15, True
19, 41977, 9, True
20, 22575, 9, True
21, 31199, 9, True
22, 51225, 9, True
23, 30474, 11, True
24, 21523, 9, True
25, 29776, 9, True
26, 29391, 11, True
27, 39033, 11, True
28, 37947, 9, True
29, 18089, 9, True
30, 47088, 9, True
31, 23100, 9, True
32, 12330, 17, True
33, 39102, 9, True
34, 28304, 11, True
35, 34303, 9, True
36, 37852, 9, True
37, 16160, 21, True
38, 61102, 9, True
39, 32936, 9, True
40, 7692, 0, False
41, 7447, 0, False
42, 10728, 15, True
43, 10474, 11, True
44, 16399, 15, True
45, 10392, 17, True
46, 10286, 36, True
47, 10172, 34, True
48, 9916, 0, False
49, 13552, 15, True
0, 223546, 0, False
1, 73746, 9, True
2, 17096, 9, True
3, 62665, 11, True
4, 27133, 15, True
5, 36989, 15, True
6, 60761, 9, True
7, 36116, 13, True
8, 59631, 13, True
9, 25255, 9, True
10, 35115, 9, True
11, 34862, 11, True
12, 34368, 13, True
13, 33917, 11, True
14, 56610, 9, True
15, 33542, 11, True
16, 33002, 11, True
17, 54323, 9, True
18, 22967, 9, True
19, 32240, 9, True
20, 52585, 11, True
21, 31262, 9, True
22, 40615, 9, True
23, 30610, 11, True
24, 50054, 9, True
25, 21182, 9, True
26, 29537, 11, True
27, 48517, 11, True
28, 37845, 9, True
29, 37331, 9, True
30, 38074, 9, True
31, 45671, 9, True
32, 22870, 9, True
33, 17083, 13, True
34, 22172, 9, True
35, 18606, 9, True
36, 11860, 9, True
37, 15998, 9, True
38, 26787, 11, True
39, 15714, 9, True
40, 15434, 11, True
41, 31867, 13, True
42, 34112, 9, True
43, 10721, 0, False
44, 10630, 13, True
45, 18048, 19, True
46, 7205, 11, True
47, 10077, 0, False
48, 10244, 36, True
49, 9830, 17, True
0, 60263, 29, True
1, 38617, 21, True
2, 74533, 19, True
3, 83280, 19, True
4, 68478, 19, True
5, 90359, 15, True
6, 36632, 17, True
7, 73959, 27, True
8, 47301, 17, True
9, 72518, 19, True
10, 85786, 19, True
11, 70980, 19, True
12, 70365, 17, True
13, 60923, 17, True
14, 100027, 15, True
15, 96205, 13, True
16, 94986, 19, True
17, 117559, 15, True
18, 78664, 15, True
19, 109295, 15, True
20, 26251, 19, True
21, 58181, 27, True
22, 25541, 17, True
23, 25296, 21, True
24, 76556, 23, True
25, 31670, 15, True
26, 38803, 17, True
27, 56105, 25, True
28, 13039, 0, False
29, 20374, 46, True
30, 27934, 31, True
31, 12642, 0, False
32, 22791, 0, False
33, 17065, 0, False
34, 30723, 0, False
35, 20255, 39, True
36, 16341, 0, False
37, 11609, 0, False
38, 21746, 0, False
39, 11336, 36, True
40, 23520, 0, False
41, 7477, 0, False
42, 15309, 0, False
43, 10656, 0, False
44, 18514, 0, False
45, 7018, 0, False
46, 23979, 0, False
47, 13860, 0, False
48, 4131, 0, False
49, 13258, 21, True
0, 38672, 23, True
1, 27179, 15, True
2, 49841, 15, True
3, 37537, 19, True
4, 49076, 13, True
5, 48804, 13, True
6, 48550, 15, True
7, 36369, 11, True
8, 63037, 13, True
9, 72799, 17, True
10, 35294, 13, True
11, 45987, 13, True
12, 45598, 11, True
13, 56903, 11, True
14, 44551, 15, True
15, 44248, 13, True
16, 55300, 11, True
17, 32654, 11, True
18, 42689, 17, True
19, 53346, 15, True
20, 41776, 15, True
21, 57533, 13, True
22, 88899, 13, True
23, 30745, 11, True
24, 48944, 15, True
25, 60997, 13, True
26, 98982, 11, True
27, 13497, 0, False
28, 53221, 13, True
29, 38064, 19, True
30, 57694, 11, True
31, 28211, 13, True
32, 8545, 0, False
33, 29264, 13, True
34, 12299, 0, False
35, 28401, 11, True
36, 16573, 13, True
37, 11724, 21, True
38, 27654, 25, True
39, 39465, 17, True
40, 11396, 36, True
41, 11211, 42, True
42, 11189, 0, False
43, 7400, 30, True
44, 18244, 13, True
45, 19163, 0, False
46, 7086, 0, False
47, 10423, 0, False
48, 13784, 0, False
49, 6915, 30, True
0, 39470, 27, True
1, 206623, 27, True
2, 254480, 0, False
3, 374140, 0, False
4, 219411, 0, False
5, 62134, 25, True
6, 320441, 25, True
7, 89370, 27, True
8, 73780, 23, True
9, 181545, 0, False
10, 35503, 13, True
11, 58273, 13, True
12, 99662, 17, True
13, 98536, 15, True
14, 284243, 17, True
15, 115575, 15, True
16, 61498, 19, True
17, 96977, 17, True
18, 72894, 17, True
19, 91969, 17, True
20, 46863, 66, True
21, 9726, 0, False
22, 58378, 0, False
23, 32759, 15, True
24, 25492, 0, False
25, 38382, 15, True
26, 22112, 0, False
27, 9053, 0, False
28, 8949, 0, False
29, 18177, 0, False
30, 8631, 0, False
31, 28071, 21, True
32, 39670, 0, False
33, 45391, 0, False
34, 25975, 0, False
