Mutation chance(%), Time, Solution Length, Solution Found?
4, 12165, 3, True
5, 11767, 3, True
6, 11667, 3, True
7, 11512, 3, True
8, 11497, 3, True
9, 11310, 3, True
10, 11178, 3, True
11, 11127, 3, True
12, 11038, 3, True
13, 10955, 3, True
14, 10903, 3, True
15, 10802, 3, True
16, 10681, 3, True
17, 10464, 3, True
18, 10359, 3, True
19, 10155, 3, True
4, 11939, 5, True
5, 11863, 5, True
6, 11844, 5, True
7, 11690, 5, True
8, 11365, 5, True
9, 22981, 5, True
10, 11280, 5, True
11, 11108, 5, True
12, 11162, 5, True
13, 10873, 5, True
14, 10896, 5, True
15, 10787, 5, True
16, 10762, 5, True
17, 21286, 5, True
18, 32573, 5, True
19, 10323, 5, True
4, 11888, 5, True
5, 11813, 5, True
6, 66018, 5, True
7, 11602, 5, True
8, 23192, 7, True
9, 11281, 5, True
10, 11265, 5, True
11, 11198, 5, True
12, 22272, 5, True
13, 34259, 5, True
14, 21923, 5, True
15, 21580, 5, True
16, 21222, 5, True
17, 32684, 5, True
18, 20739, 5, True
19, 10260, 5, True
4, 701263, 37, True
5, 213536, 47, True
6, 314928, 27, True
7, 241563, 23, True
8, 104866, 59, True
9, 137387, 23, True
10, 165544, 0, False
11, 232921, 19, True
12, 198664, 21, True
13, 134906, 19, True
14, 118825, 0, False
15, 311129, 21, True
16, 190444, 23, True
17, 132961, 0, False
18, 87932, 0, False
19, 89548, 0, False
4, 84062, 9, True
5, 51618, 9, True
6, 23775, 7, True
7, 36895, 11, True
8, 23320, 9, True
9, 49580, 11, True
10, 22789, 7, True
11, 22544, 7, True
12, 34698, 7, True
13, 34373, 7, True
14, 34031, 9, True
15, 21618, 7, True
16, 46040, 7, True
17, 45414, 7, True
18, 32406, 7, True
19, 32223, 7, True
4, 87708, 23, True
5, 128988, 23, True
6, 309595, 31, True
7, 203931, 27, True
8, 235040, 17, True
9, 84740, 19, True
10, 132168, 31, True
11, 130361, 19, True
12, 141979, 21, True
13, 136607, 21, True
14, 127112, 21, True
15, 55630, 25, True
16, 124618, 19, True
17, 95297, 0, False
18, 190720, 15, True
19, 44002, 0, False
4, 397526, 23, True
5, 139520, 29, True
6, 408032, 29, True
7, 117904, 31, True
8, 281016, 27, True
9, 134109, 19, True
10, 123423, 0, False
11, 217232, 25, True
12, 215797, 25, True
13, 98741, 43, True
14, 134959, 21, True
15, 124511, 0, False
16, 21789, 0, False
17, 50004, 0, False
18, 27892, 0, False
19, 38979, 0, False
